dataset,model,intersection,sample_size,accuracy,positive_prediction_rate
COMPAS,Logistic Regression,race=African-American|sex=Female,207,0.714975845410628,0.30917874396135264
COMPAS,Logistic Regression,race=African-American|sex=Male,920,0.6978260869565217,0.7043478260869566
COMPAS,Logistic Regression,race=Caucasian|sex=Female,174,0.7068965517241379,0.1206896551724138
COMPAS,Logistic Regression,race=Caucasian|sex=Male,555,0.654054054054054,0.35135135135135137
COMPAS,Logistic Regression,race=Hispanic|sex=Female,29,0.8275862068965517,0.10344827586206896
COMPAS,Logistic Regression,race=Hispanic|sex=Male,160,0.65625,0.30625
COMPAS,Logistic Regression,race=Other|sex=Female,20,0.6,0.0
COMPAS,Random Forest,race=African-American|sex=Female,207,0.642512077294686,0.4106280193236715
COMPAS,Random Forest,race=African-American|sex=Male,920,0.6521739130434783,0.6021739130434782
COMPAS,Random Forest,race=Caucasian|sex=Female,174,0.632183908045977,0.40229885057471265
COMPAS,Random Forest,race=Caucasian|sex=Male,555,0.6108108108108108,0.4018018018018018
COMPAS,Random Forest,race=Hispanic|sex=Female,29,0.5862068965517241,0.3448275862068966
COMPAS,Random Forest,race=Hispanic|sex=Male,160,0.58125,0.43125
COMPAS,Random Forest,race=Other|sex=Female,20,0.75,0.25
COMPAS,Gradient Boosting,race=African-American|sex=Female,207,0.7101449275362319,0.36231884057971014
COMPAS,Gradient Boosting,race=African-American|sex=Male,920,0.7032608695652174,0.5967391304347827
COMPAS,Gradient Boosting,race=Caucasian|sex=Female,174,0.6781609195402298,0.20689655172413793
COMPAS,Gradient Boosting,race=Caucasian|sex=Male,555,0.6558558558558558,0.33513513513513515
COMPAS,Gradient Boosting,race=Hispanic|sex=Female,29,0.7931034482758621,0.06896551724137931
COMPAS,Gradient Boosting,race=Hispanic|sex=Male,160,0.66875,0.29375
COMPAS,Gradient Boosting,race=Other|sex=Female,20,0.7,0.2
Loan,Logistic Regression,gender=Male|married=No,30,0.6666666666666666,0.8333333333333334
Loan,Logistic Regression,gender=Male|married=Yes,92,0.8586956521739131,0.8369565217391305
Loan,Random Forest,gender=Male|married=No,30,0.6333333333333333,0.8
Loan,Random Forest,gender=Male|married=Yes,92,0.8478260869565217,0.8043478260869565
Loan,Gradient Boosting,gender=Male|married=No,30,0.7,0.7333333333333333
Loan,Gradient Boosting,gender=Male|married=Yes,92,0.8478260869565217,0.8260869565217391
Census,Logistic Regression,sex=Female|race=Amer-Indian-Eskimo,32,0.9375,0.0625
Census,Logistic Regression,sex=Female|race=Asian-Pac-Islander,82,0.9024390243902439,0.024390243902439025
Census,Logistic Regression,sex=Female|race=Black,422,0.943127962085308,0.026066350710900472
Census,Logistic Regression,sex=Female|race=White,2351,0.8855806039982986,0.03487877498936623
Census,Logistic Regression,sex=Male|race=Amer-Indian-Eskimo,58,0.9137931034482759,0.06896551724137931
Census,Logistic Regression,sex=Male|race=Asian-Pac-Islander,189,0.7777777777777778,0.1693121693121693
Census,Logistic Regression,sex=Male|race=Black,418,0.8229665071770335,0.08851674641148326
Census,Logistic Regression,sex=Male|race=Other,39,0.8717948717948718,0.02564102564102564
Census,Logistic Regression,sex=Male|race=White,5440,0.7773897058823529,0.22683823529411765
Census,Random Forest,sex=Female|race=Amer-Indian-Eskimo,32,0.96875,0.09375
Census,Random Forest,sex=Female|race=Asian-Pac-Islander,82,0.8902439024390244,0.08536585365853659
Census,Random Forest,sex=Female|race=Black,422,0.9597156398104265,0.037914691943127965
Census,Random Forest,sex=Female|race=White,2351,0.9183326244151425,0.10676307954062102
Census,Random Forest,sex=Male|race=Amer-Indian-Eskimo,58,0.9137931034482759,0.10344827586206896
Census,Random Forest,sex=Male|race=Asian-Pac-Islander,189,0.8306878306878307,0.2857142857142857
Census,Random Forest,sex=Male|race=Black,418,0.8636363636363636,0.13875598086124402
Census,Random Forest,sex=Male|race=Other,39,0.9230769230769231,0.07692307692307693
Census,Random Forest,sex=Male|race=White,5440,0.8011029411764706,0.290625
Census,Gradient Boosting,sex=Female|race=Amer-Indian-Eskimo,32,0.9375,0.0625
Census,Gradient Boosting,sex=Female|race=Asian-Pac-Islander,82,0.9146341463414634,0.08536585365853659
Census,Gradient Boosting,sex=Female|race=Black,422,0.957345971563981,0.045023696682464455
Census,Gradient Boosting,sex=Female|race=White,2351,0.9204593789876648,0.0842194810718843
Census,Gradient Boosting,sex=Male|race=Amer-Indian-Eskimo,58,0.9310344827586207,0.08620689655172414
Census,Gradient Boosting,sex=Male|race=Asian-Pac-Islander,189,0.8253968253968254,0.291005291005291
Census,Gradient Boosting,sex=Male|race=Black,418,0.8636363636363636,0.10526315789473684
Census,Gradient Boosting,sex=Male|race=Other,39,0.9230769230769231,0.07692307692307693
Census,Gradient Boosting,sex=Male|race=White,5440,0.8262867647058824,0.2566176470588235
